d_o_mm,n_orf,PF_tau,PF_gain,Cd0,CdInf,p_exp,Lori_mm,hA_W_perK,Dp_mm,d_w_mm,D_m_mm,n_turn,mu_ref,f1,f2,pen,pen_dP,pen_Qcap,pen_cav,pen_T,pen_mu,x10_max_damperli,a10abs_max_damperli,dP95_worst,Qcap95_worst,cav_pct_worst,T_end_worst,mu_end_worst,PF_p95_worst,Q_q50_worst,Q_q95_worst,dP_orf_q50_worst,dP_orf_q95_worst,T_oil_end_worst,T_steel_end_worst,energy_tot_sum,E_orifice_sum,E_struct_sum,E_ratio,P_mech_sum
2.74333975926608,5,0.116521504022714,1.01516163163953,0.503195882986883,0.839554680688349,1.19605100863852,150.4771410672,571.043213391879,162.923096806686,12.8861100157183,95.1740749084388,8,1.2224759029783,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.71824870590396,5,0.114151142859283,1.02422403868778,0.50300621016399,0.838381249031721,1.18129562359821,145.044171198797,557.4647889897,163.492231203213,12.9997810847783,95.7184326441345,8,1.23648333585279,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.72262491695504,5,0.114330301609807,1.0220912567859,0.502997107423832,0.839459105598418,1.18148993058911,145.057763292591,549.096960849545,163.332442118941,13.0733515037892,96.3005213862868,8,1.23629528837022,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.72964205445692,5,0.112300235060207,1.01132478247343,0.503860766581917,0.839141484517222,1.20108804847744,145.872318014198,570.49131634737,162.694216130844,12.8315121752523,93.6457397372816,8,1.22659476208052,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.73595024066431,5,0.113480890434493,1.00674571026661,0.502723525942829,0.838683530239069,1.1777882463114,145.224963333404,560.199112839465,162.61045074376,13.0996209689077,92.9964815475456,8,1.23356454748607,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.73673343497896,5,0.115205939800807,1.00227020053676,0.50240461661705,0.838046458770755,1.18236476919559,146.719259443333,566.143997919925,162.76549865368,12.7669215579234,93.7320054466843,8,1.2274163949289,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.7442776654007,5,0.11561044663414,1.08792549601709,0.503095546833287,0.836658384516887,1.19390023330304,147.504167342653,586.831743032826,163.41935577757,13.1500447069995,96.6905565352993,8,1.22506799982791,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.71955177396143,5,0.114245633015416,1.02305734961774,0.503001938636097,0.839388584995889,1.18131340380488,145.048687619797,554.264811664112,163.480480879045,13.0002492002878,96.2054119330424,8,1.23640434560031,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.71975989917495,5,0.115690230254435,1.01268423487179,0.50280977497915,0.839530502385939,1.18653216560708,150.851870992559,569.554630326131,163.375782582745,13.0268325346611,95.18907381689,8,1.22536560062193,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4735638710814,1.00719095812608,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4735638710814,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
2.72317686452842,5,0.114013351033627,1.01941036250728,0.503001487570394,0.838085043198675,1.18144813224166,145.055082581957,551.575631650994,163.620163025698,13.0306256835979,96.4040560542711,8,1.23631073200104,3.99400865988968,0.00393474435093986,0,0,0,0,0,0,0.0919140637939375,5.96465940502426,12433901.1196372,0.0679049212355595,0,38.4832641940892,1.00706395512494,1735333.17460808,0.00211254185620884,0.00269377934908397,7735991.26888097,12433901.1196372,38.4832641940892,0,26632678.8352177,21050334.7587257,5582344.07649197,3.77087733580802,0
