d_o_mm,n_orf,PF_tau,PF_gain,Cd0,CdInf,p_exp,Lori_mm,hA_W_perK,Dp_mm,d_w_mm,D_m_mm,n_turn,mu_ref,f1,f2,PFA_w,IDR_w,pen,pen_dP,pen_Qcap,pen_cav,pen_T,pen_mu,x10_max_damperli,a10abs_max_damperli,dP95_worst,Qcap95_worst,cav_pct_worst,T_end_worst,mu_end_worst,PF_p95_worst,Q_q50_worst,Q_q95_worst,dP_orf_q50_worst,dP_orf_q95_worst,T_oil_end_worst,T_steel_end_worst,energy_tot_sum,E_orifice_sum,E_struct_sum,E_ratio,P_mech_sum
2.41195684113002,6,0.265049718947131,3.99062870270887,0.596261835532448,1.00878108295431,1.32004280130309,146.044711773773,581.467517431053,249.95441151073,12.1201515419991,114.623186508729,9,1.3379768776124,6.52114411932755,0.00315477123210639,6.52114411932755,0.00315477123210639,0,0,0,0,0,0,0.0893735556070579,12.4890635555807,41293456.4538727,0.125166597488139,0,73.8202848685062,0.715653540695485,19582034.106862,0.00500871967433867,0.00526355263895104,37564002.4984148,41293456.4538727,73.8202848685062,0,252405818.062191,219404513.628619,33001304.4335724,6.64835882685345,0
2.48228901422996,6,0.329440343770046,2.5380682032791,0.546527286351618,0.934893468395858,1.29442064699455,141.600327789292,552.862060907549,249.8479375403,14.182001467226,106.440859098962,9,1.16222583649194,5.46990637702093,0.00339216276321336,5.46990637702093,0.00339216276321336,0,0,0,0,0,0,0.0949891048885726,10.2906807405696,44421532.7375202,0.130194152865706,0,69.741110378899,0.642831596047379,15136491.9983861,0.00504507551540485,0.00547017364453857,38114608.2117509,44421532.7375202,69.741110378899,0,221172606.918733,190225762.982279,30946843.9364545,6.14685501929967,0
2.47938991937251,6,0.370151976795829,1.93852651067891,0.554907398163049,0.891315216691304,1.31220302447374,130.266979481119,565.466461649545,250,14.6015983275207,115.3720499759,10,1.12675010200782,5.14796302857134,0.00350554639609477,5.14796302857134,0.00350554639609477,0,0,0,0,0,0,0.0974854432005204,9.31523168353788,46546780.7832467,0.138941268927568,0,69.849998826029,0.641922279645174,13165475.4857429,0.00506511367892259,0.00558660481842697,38645783.8830454,46546780.7832467,69.849998826029,0,216581337.137294,186938619.353482,29642717.783812,6.30639271057562,0
2.48039316908095,6,0.372310422027431,1.8,0.543626911035813,0.964183495249742,1.2113714601524,122.136311309544,583.583961028891,246.202598670248,14.7537928550744,99.83452187319,10,1.14397397591891,5.02015865786799,0.00359593830702165,5.02015865786799,0.00359593830702165,0,0,0,0,0,0,0.0984011890826958,8.75811665338151,45025412.7811091,0.12641385703748,0,67.683663454975,0.660257292676741,12104371.3725303,0.00491833861361875,0.0054826762218268,36731378.166065,45025412.7811091,67.683663454975,0,199439957.765306,170598008.695446,28841949.0698606,5.91492649412234,0
2.46452192713669,6,0.305777946024383,3.198817974024,0.552004863375014,0.945682057898124,1.29746812572252,138.781079932435,578.180062425014,249.938689389267,13.8169160846304,116.272841141285,9,1.27931998784605,5.93460267882083,0.00326814206722754,5.93460267882083,0.00326814206722754,0,0,0,0,0,0,0.0921676838489748,11.3640971765961,46426144.4821273,0.129823029427802,0,73.6787692836499,0.690416848031911,17344745.5671574,0.00502490710602062,0.00535123692791642,41196620.3181571,46426144.4821273,73.6787692836499,0,242932933.011796,210878843.992104,32054089.0196914,6.57884377442633,0
2.47500622915527,6,0.358635962490415,2.6795161127113,0.534919291133223,0.998717092868756,1.29128949728657,125.708484880884,534.677512889144,249.542495631722,14.168215706592,102.336030128864,10,1.20479372275194,5.42001549791101,0.00340075276991955,5.42001549791101,0.00340075276991955,0,0,0,0,0,0,0.0954801689173957,10.1611791859698,47204887.5711591,0.121172924703001,0,69.0233633345518,0.677068948862213,14954275.6745298,0.0050456140449912,0.00547434639622965,40503826.6200299,47204887.5711591,69.0233633345518,0,214547172.104327,183905898.003252,30641274.1010757,6.00190114146709,0
2.42911202818237,6,0.37789464280228,2.7997386317876,0.542960923851416,1.017943690123,1.30946476541784,141.668151602846,582.989421040959,249.902258054101,14.1098455833281,116.009839376614,10,1.19293493975853,5.65866147679545,0.00333890641690968,5.65866147679545,0.00333890641690968,0,0,0,0,0,0,0.0946430097803306,10.8647898387275,48034969.2544857,0.12217363048939,0,73.6503481739916,0.637543372182375,16302858.4709724,0.0050335209012235,0.00540700145821156,42002900.3006165,48034969.2544857,73.6503481739916,0,239663257.959711,208172199.396699,31491058.5630123,6.61051768012672,0
2.31603056670565,7,0.218784778037704,3.95344138091865,0.615606142336182,1.06619938455944,1.29331977941283,149.478738646772,604.362361382801,249.999820179498,12.2372598522697,112.970313507413,8,1.34113140650334,6.92728781645542,0.00310266551388478,6.92728781645542,0.00310266551388478,0,0,0,0,0,0,0.0893567615354826,13.105953057061,33680932.0883931,0.109865421184479,0,72.8562993810673,0.724678406699136,20786181.4181461,0.00500263847546222,0.00524437732603816,30768036.5846858,33680932.0883931,72.8562993810673,0,255264070.815553,221619381.392206,33644689.4233475,6.5870538617133,0
2.47286131029276,4,0.233321033490566,2.31061827552713,0.559176132424809,0.991443032941835,1.36306275700741,133.686949383588,554.545610230735,201.690098495076,13.9969885561806,107.522038011093,9,1.18791662289149,4.81924574471478,0.00382776550334747,4.81924574471478,0.00382776550334747,0,0,0,0,0,0,0.0962767939899162,7.9058356514572,49376014.7300989,0.131369312192853,0,66.0961944734198,0.70333007678068,10460309.4719031,0.00333167818077021,0.00376198186004179,39240786.9206233,49376014.7300989,66.0961944734198,0,135107234.959223,107656341.021699,27450893.9375243,3.92177905997213,0
2.48502849669383,6,0.364688902812638,2.2291607813374,0.537721257765085,0.962439431904663,1.26994319100333,126.456670695826,561.522584506054,249.011408863991,14.6718046568229,114.737569545585,9,1.13838681813106,5.21653040270799,0.00348091944954109,5.21653040270799,0.00348091944954109,0,0,0,0,0,0,0.0968131121160248,9.60321693382904,45856460.0948633,0.126986906757892,0,68.2567577529486,0.655356505366297,13627845.9047818,0.00501918221356442,0.00550752987434289,38518722.661914,45856460.0948633,68.2567577529486,0,208485769.395974,178580130.746806,29905638.6491681,5.97145350553395,0
